Tempo_Decorrido_S,System_Total_CPU_Percent,System_Used_Memory_GB
365.99,34.3,5.91
366.49,16.4,5.91
366.99,5.5,5.9
367.49,0.5,5.9
367.99,0.8,5.9
368.49,11.3,5.89
369.0,8.0,5.87
369.5,6.5,5.87
370.0,4.0,5.87
370.5,4.2,5.87
371.0,13.0,5.87
371.5,11.1,5.87
372.0,11.9,5.87
372.5,5.6,5.87
373.0,9.2,5.87
373.5,11.3,5.86
374.0,4.0,5.86
374.5,2.8,5.86
375.0,2.7,5.85
375.5,5.5,5.85
376.01,7.8,5.85
376.51,3.8,5.85
377.01,3.5,5.85
377.51,4.3,5.86
378.01,10.2,5.87
378.51,7.8,5.87
379.01,8.6,5.86
379.51,3.0,5.86
380.01,15.3,5.86
380.51,10.8,5.86
381.01,4.0,5.86
381.51,11.8,5.9
382.01,14.8,5.94
382.51,10.3,5.95
383.01,12.9,5.95
383.52,10.6,5.94
384.02,20.2,5.98
384.52,15.0,5.98
385.02,30.6,5.97
385.52,3.5,5.96
386.02,4.0,5.96
386.52,5.5,5.97
387.02,2.2,5.94
387.52,1.2,5.92
388.02,0.3,5.92
388.52,6.0,5.91
389.02,6.5,5.91
389.52,8.5,5.91
390.02,13.3,5.92
390.52,9.0,5.93
391.03,1.5,5.93
391.53,3.8,5.92
392.03,3.2,5.92
392.53,1.3,5.92
393.03,10.0,5.92
393.53,14.1,5.93
394.03,5.5,5.93
394.53,4.2,5.93
395.03,12.1,5.93
395.53,2.3,5.93
396.03,8.5,5.93
396.53,9.1,5.93
397.03,17.0,5.93
397.53,10.2,5.92
398.04,11.8,5.92
398.54,10.3,5.92
399.04,11.6,5.92
399.54,8.0,5.92
400.04,2.0,5.93
400.54,1.0,5.91
401.04,8.5,5.92
401.54,3.3,5.92
402.04,2.8,5.91
402.54,9.7,5.92
403.04,8.0,5.92
403.54,4.5,5.92
404.04,1.0,5.92
404.54,6.3,5.91
405.05,5.8,5.91
405.55,10.7,5.91
406.05,4.5,5.91
406.55,2.3,5.91
407.05,3.2,5.91
407.55,7.0,5.91
408.05,2.0,5.91
408.55,9.8,5.91
409.05,1.5,5.91
409.55,12.8,5.91
410.05,10.6,5.91
410.55,8.5,5.91
411.05,8.3,5.91
411.56,12.1,5.92
412.06,13.0,5.92
412.56,9.1,5.93
413.06,11.3,5.92
413.56,7.8,5.92
414.06,3.5,5.92
414.56,3.8,5.92
415.06,7.0,5.92
415.56,0.2,5.92
416.06,0.2,5.92
416.56,11.3,5.93
417.06,3.0,5.92
417.56,5.3,5.93
418.06,8.3,5.93
418.56,9.5,5.92
419.07,23.3,5.92
419.57,4.5,5.92
420.07,3.0,5.91
420.57,4.0,5.91
421.07,4.5,5.91
421.57,7.8,5.91
422.07,5.8,5.91
422.57,3.3,5.91
423.07,8.8,5.91
423.57,9.1,5.91
424.07,5.3,5.91
424.57,5.5,5.91
425.07,9.3,5.93
425.57,5.3,5.92
426.08,2.8,5.92
426.58,3.8,5.92
427.08,6.3,5.92
427.58,8.5,5.92
428.08,3.3,5.92
428.58,3.0,5.92
429.08,4.3,5.91
429.58,4.5,5.91
430.08,8.0,5.91
430.58,12.1,5.91
431.08,6.5,5.91
431.58,12.0,5.91
432.08,7.8,5.91
432.58,1.0,5.91
433.09,3.0,5.92
433.59,10.5,5.93
434.09,4.0,5.93
434.59,7.0,5.93
435.09,13.3,5.92
435.59,12.0,5.92
436.09,8.8,5.92
436.59,7.3,5.92
437.09,8.1,5.92
437.59,12.8,5.92
438.09,8.6,5.93
438.59,11.5,5.93
439.09,12.0,5.93
439.59,2.3,5.93
440.1,8.5,5.93
440.6,2.0,5.93
441.1,4.0,5.92
441.6,3.7,5.92
442.1,13.0,5.92
442.6,4.8,5.92
443.1,2.3,5.92
443.6,4.3,5.91
444.1,1.2,5.92
444.6,7.0,5.92
445.1,7.5,5.92
445.6,4.3,5.92
446.1,0.8,5.92
446.6,0.5,5.91
447.11,1.2,5.9
447.61,9.0,5.92
448.11,4.5,5.92
448.61,10.3,5.92
449.11,4.5,5.92
449.61,9.3,5.91
450.11,2.3,5.91
450.61,3.8,5.9
451.11,1.0,5.9
451.61,0.5,5.9
452.11,0.7,5.9
452.61,0.5,5.9
453.12,0.5,5.89
453.62,0.5,5.89
454.12,1.0,5.88
454.62,5.0,5.9
455.12,3.0,5.91
455.62,26.7,5.91
456.12,3.0,5.91
456.62,2.7,5.91
457.12,2.0,5.91
457.62,4.2,5.91
458.12,13.7,5.91
458.62,2.8,5.91
459.12,1.2,5.91
459.62,0.7,5.91
460.13,2.5,5.92
460.63,10.2,5.92
461.13,2.5,5.92
461.63,13.0,5.92
462.13,1.8,5.91
462.63,1.5,5.91
463.13,7.5,5.91
463.63,6.2,5.91
464.13,4.5,5.9
464.63,12.0,5.91
465.13,6.2,5.91
465.63,4.2,5.91
466.13,8.5,5.91
466.64,9.5,5.9
467.14,3.7,5.9
467.64,8.3,5.91
468.14,10.8,5.91
468.64,6.3,5.91
469.14,8.8,5.91
469.64,12.0,5.92
470.14,13.0,5.91
470.64,8.1,5.92
471.14,8.3,5.92
471.64,0.7,5.92
472.14,0.3,5.92
472.64,8.0,5.92
473.14,28.0,5.91
473.64,10.1,5.91
474.15,11.3,5.91
474.65,7.0,5.9
475.15,2.0,5.9
475.65,7.8,5.9
476.15,5.3,5.9
476.65,2.3,5.9
477.15,1.7,5.9
477.65,7.3,5.9
478.15,7.0,5.9
478.65,4.3,5.9
479.15,10.5,5.9
479.65,1.3,5.9
480.15,1.5,5.9
480.65,8.5,5.9
